Topic Label,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25
bad,2024.--senator (0.0000),2023.--senator (0.0000),transactions (0.0000),rept (0.0000),transaction (0.0000),forest (0.0000),hegseth (0.0000),laken (0.0000),nprm (0.0000),commenters (0.0000),government-related (0.0000),2023.--read (0.0000),settlement (0.0000),tiktok (0.0000),forests (0.0000),h.j (0.0000),westerman (0.0000),disapproval (0.0000),genomic (0.0000),2024.--read (0.0000),donoghue (0.0000),cipollone (0.0000),eastman (0.0000),subpart (0.0000),2024.--placed (0.0000)
worse,rept (0.0001),2024.--senator (0.0001),2023.--senator (0.0000),transactions (0.0000),transaction (0.0000),forest (0.0000),hegseth (0.0000),laken (0.0000),nprm (0.0000),commenters (0.0000),government-related (0.0000),2023.--read (0.0000),settlement (0.0000),tiktok (0.0000),forests (0.0000),h.j (0.0000),westerman (0.0000),disapproval (0.0000),genomic (0.0000),2024.--read (0.0000),2024.--placed (0.0000),subpart (0.0000),brokerage (0.0000),fireshed (0.0000),wildfires (0.0000)
almost same as bad,cipollone (0.0000),donoghue (0.0000),eastman (0.0000),brennan (0.0000),heaphy (0.0000),luria (0.0000),nord (0.0000),herschmann (0.0000),bowers (0.0000),machines (0.0000),s.b (0.0000),turnout (0.0000),mail-in (0.0000),raffensperger (0.0000),professor (0.0000),ldf (0.0000),flynn (0.0000),clip (0.0000),stepien (0.0000),reaction (0.0000),lukas (0.0000),engel (0.0000),races (0.0000),i--i (0.0000),wide-spread (0.0000)
